uri,concurrency,requests,qps,tpr,t_90
/param/500?param=no-optimize,500,30000,23682.17,21.113,4
/param/500?param=no-optimize,500,30000,29136.34,17.161,4
/param/500?param=no-optimize,500,30000,31007.46,16.125,4
/param/500?param=no-optimize,500,30000,30276.18,16.515,4
/param/500?param=no-optimize,500,30000,25840.1,19.35,3
/param/500?param=no-optimize,500,30000,27264.1,18.339,4
/param/500?param=no-optimize,500,30000,23605.49,21.182,4
/param/500?param=no-optimize,500,30000,23867.16,20.949,4
/param/500?param=no-optimize,500,30000,24372.27,20.515,4
uri,concurrency,requests,qps,tpr,t_90
/path/no-optimize/1,500,30000,3955.74,126.399,20
/path/no-optimize/1,500,30000,13152.37,38.016,8
/path/no-optimize/1,500,30000,15657.3,31.934,7
/path/no-optimize/1,500,30000,23984.4,20.847,4
/path/no-optimize/1,500,30000,23427.23,21.343,4
/path/no-optimize/1,500,30000,23889.61,20.93,4
/path/no-optimize/1,500,30000,18170.24,27.518,4
/path/no-optimize/1,500,30000,24233.46,20.633,4
/path/no-optimize/1,500,30000,23412.88,21.356,5
/path/no-optimize/1,500,30000,24341.6,20.541,4
/path/no-optimize/1,500,30000,24119.34,20.73,4
/path/no-optimize/1,500,30000,26340.61,18.982,4
/path/no-optimize/1,500,30000,24178.09,20.68,4
/path/no-optimize/1,500,30000,23896.52,20.924,4
/path/no-optimize/1,500,30000,20918.52,23.902,4
/path/no-optimize/1,500,30000,25520.82,19.592,4
/path/no-optimize/1,500,30000,24068.35,20.774,4
/path/no-optimize/1,500,30000,23567.77,21.215,4
/path/no-optimize/1,500,30000,23489.97,21.286,4
/path/no-optimize/1,500,30000,24033.69,20.804,4
uri,concurrency,requests,qps,tpr,t_90
/path/no-optimize/10,500,30000,8815.93,56.715,32
/path/no-optimize/10,500,30000,12703.24,39.36,10
/path/no-optimize/10,500,30000,17321.73,28.865,6
/path/no-optimize/10,500,30000,18604.18,26.876,6
/path/no-optimize/10,500,30000,18893.69,26.464,6
/path/no-optimize/10,500,30000,19101.93,26.175,6
/path/no-optimize/10,500,30000,19513.62,25.623,6
/path/no-optimize/10,500,30000,20583.81,24.291,5
/path/no-optimize/10,500,30000,16392.6,30.502,5
/path/no-optimize/10,500,30000,19587.55,25.526,6
/path/no-optimize/10,500,30000,19956.3,25.055,5
/path/no-optimize/10,500,30000,19090.19,26.191,6
/path/no-optimize/10,500,30000,20246.49,24.696,5
/path/no-optimize/10,500,30000,19572.65,25.546,5
/path/no-optimize/10,500,30000,19513.64,25.623,6
/path/no-optimize/10,500,30000,19451.52,25.705,6
/path/no-optimize/10,500,30000,19380.12,25.8,6
/path/no-optimize/10,500,30000,19648.63,25.447,6
/path/no-optimize/10,500,30000,19986.26,25.017,6
